"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.53","48.57","MALAHAT","1014820","2023-01-01","2023","01","01","","4.6","","2.5","","3.6","","14.4","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-02","2023","01","02","","3.3","","0.7","","2.0","","16.0","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-03","2023","01","03","","3.4","","1.4","","2.4","","15.6","","0.0","","","","","","0.4","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-04","2023","01","04","","4.4","","1.6","","3.0","","15.0","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-05","2023","01","05","","9.5","","3.6","","6.6","","11.4","","0.0","","","","","","0.6","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-06","2023","01","06","","7.3","","4.1","","5.7","","12.3","","0.0","","","","","","1.2","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-07","2023","01","07","","5.8","","3.9","","4.8","","13.2","","0.0","","","","","","12.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-08","2023","01","08","","5.8","","3.5","","4.6","","13.4","","0.0","","","","","","2.8","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-09","2023","01","09","","7.0","","2.9","","5.0","","13.0","","0.0","","","","","","3.8","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-10","2023","01","10","","6.4","","4.1","","5.3","","12.7","","0.0","","","","","","2.8","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-11","2023","01","11","","7.3","","2.6","","5.0","","13.0","","0.0","","","","","","0.4","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-12","2023","01","12","","8.1","","5.0","","6.6","","11.4","","0.0","","","","","","28.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-13","2023","01","13","","10.0","","7.4","","8.7","","9.3","","0.0","","","","","","5.4","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-14","2023","01","14","","7.7","","5.9","","6.8","","11.2","","0.0","","","","","","0.6","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-15","2023","01","15","","6.7","","4.1","","5.4","","12.6","","0.0","","","","","","2.4","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-16","2023","01","16","","6.0","","4.1","","5.1","","12.9","","0.0","","","","","","3.6","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-17","2023","01","17","","4.7","","4.2","","4.5","","13.5","","0.0","","","","","","2.8","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-18","2023","01","18","","5.7","","1.7","","3.7","","14.3","","0.0","","","","","","2.2","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-19","2023","01","19","","4.3","","0.9","","2.6","","15.4","","0.0","","","","","","0.2","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-20","2023","01","20","","3.4","","1.7","","2.5","","15.5","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-21","2023","01","21","","2.6","","0.4","","1.5","","16.5","","0.0","","","","","","3.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-22","2023","01","22","","4.0","","0.6","","2.3","","15.7","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-23","2023","01","23","","5.3","","1.8","","3.5","","14.5","","0.0","","","","","","1.8","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-24","2023","01","24","","6.4","","3.0","","4.7","","13.3","","0.0","","","","","","1.8","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-01-25","2023","01","25","","5.1","","2.4","","3.8","","14.2","","0.0","","","","","","0.0","","","","","M","","M"
